,Type
0,Square-plan Greek Doric monument
1,Circular Greek-revival Corinthian monument
2,Circular Greek-revival Corinthian monument
3,Obelisk
4,Statue with subsidiary sculpture
5,Circle of 32 stone slabs/rocks set in white stone chippings
6,Memorial
7,Commemorative column
8,Statue
9,Statue
10,Statue pair
11,
12,
13,Mausoleum with bas-relief sculpture
14,Sculpture
15,Urn on pedestal
16,Sculpture
17,Sculpture
18,Sundial
19,Sculpture
20,Sculpture
21,Sculpture
22,Gates
23,Statue
24,Statue
25,Statue
26,Statue sitting on bench
27,Sculptural group 
28,Statue on Doric column
29,Statue
30,Statue
31,Equestrian statue with other sculptures
32,Gothic monument
33,Statue
34,Sculptural group
35,Three part sculpture
36,Statue 
37,Equestrian statue
38,Statues of giraffes
39,Sculpture
40,Statue
41,Land art
42,Equestrian statue
43,Sculptural group
44,Statue
45,Celtic cross
46,Drinking fountain with statuette
47,Celtic cross
48,Obelisk
49,Statue
50,Statue
51,Statue
52,Celtic cross
53,Statue
54,Statue
55,Equestrian statue
56,Statue in niche
57,Statue in niche
58,Raised circle in pavement
59,Statue
60,Sculpture on stepped plinth
61,Statue
62,Statue
63,Statue
64,Installation
65,Statue
66,
67,Statue
68,Equestrian statue
69,Statue
70,Sculptural group
71,Fountain with sculptures
72,Statue
73,Statue
74,Statue
75,Statue
76,Celtic cross
77,Equestrian statue
78,Statue
79,Screen with relief and statue in front
80,Enclosure of standing stones
81,Commemorative stone mounted on three smaller stones
82,Standing stone set in a grove of birch trees
83,Commemorative stone
84,Statue
85,Sculptural group
86,Sculpture
87,Statue
88,Sculpture
89,Statue
90,Sculpture
91,Sculpture
92,Sculpture
93,Sculpture
94,Sculpture
95,Sculpture
96,Sculpture
97,Sculpture
98,Herms
99,Pair of octagonal gatepiers 
100,Pair of square pillars surmounted by heraldic beasts â€“ lion on N
101,Bust in columned niche
102,Statuette on pillar
103,Pair of octagonal pillars
104,Sundial
105,Tapering tower with relief carving and lamp
106,Architectural sculpture
107,Sculpture
108,Sculpture
109,Statue
110,Statue
111,Statue with other sculptures
112,Sculptural group
113,Sculptural group
114,Equestrian statue
115,Statue
116,Sculpture
117,Sculpture
118,Land art
119,Land art
120,Statue
121,Statue
122,Poem carved in stone
123,"Illuminated Text Sculpture 
"
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
